pl_name,pl_rade,pl_bmasse,pl_eqt,pl_orbsmax,pl_insol,st_teff,st_rad,st_mass,st_met,pl_dens
Kepler-1746 b,8.93504475,59.1,310.0,0.94082,3.4,6018.0,1.286,1.09,0.06,0.455
K2-243 c,2.01,4.7,801.0,0.1817,,6570.0,1.39,1.29,-0.03,3.18
Kepler-403 d,1.42,2.6,958.0,0.12178,285.295,6209.0,1.45,1.25,0.16,4.99
Kepler-378 b,0.75,0.347,503.0,0.112,17.819,4661.0,0.671,0.78,0.1369,4.52
TOI-216.01,10.1,177.98390792,497.0,0.2069,10.1,5026.0,0.748,0.77,0.32,0.76
HD 102272 b,12.9,1570.0802,,0.51,,4790.0,10.3,1.45,-0.41,4.02
GJ 2056 b,4.17,16.2,,0.283,,4069.95,0.709495,0.62,,1.23
Kepler-256 e,2.35,6.12,897.0,0.096,98.9,5551.0,1.301,1.037,0.26,2.59
Kepler-1408 b,0.89,0.64,1616.0,0.04218,1982.268,6170.0,1.35,1.21,0.0,4.99
BD-13 2130 b,12.5,3108.3774,,1.66,,4545.0,19.17,2.12,-0.08,8.75
Kepler-826 b,1.25,2.1,1305.0,0.05202,827.221,6079.0,1.15,1.05,-0.12,5.91
Kepler-1929 b,3.07250761,9.65,566.0,0.30883,37.2,5786.0,1.471,1.006,-0.02,1.83
Kepler-1284 b,1.21,1.92,1703.0,0.0143,2190.082,5123.0,0.79,0.84,0.03,5.96
Kepler-1587 b,1.33,2.33,981.0,0.08747,254.701,5933.0,1.22,1.08,0.07,5.44
Kepler-482 b,2.36,6.17,352.0,0.25787,4.436,4871.0,0.72,0.75,-0.13,2.58
Kepler-1070 b,1.73,3.64,1101.0,0.06753,380.134,6261.0,1.32,1.21,0.03,3.86
HD 68402 b,12.6,2510.8444153,,2.18,,5950.0,1.02,1.12,0.29,6.9
Kepler-736 b,2.93,8.91,996.0,0.0428,233.031,5217.0,0.81,0.86,0.03,1.95
K2-69 b,2.32,5.99,,0.0591,17.9,4127.0,0.491,0.551,,2.64
Kepler-649 b,2.26,5.73,564.0,0.17522,25.147,5871.0,0.94,0.97,-0.17,2.73
K2-25 b,3.44,24.5,494.0,0.0287,9.91,3207.0,0.2932,0.2634,0.15,3.31
Kepler-1237 b,2.86,8.55,366.0,0.3778,4.042,5472.0,0.9,0.94,0.12,2.01
HD 564 b,12.5,104.88,,1.2,,5902.0,1.01,0.961,-0.2,0.295
Kepler-111 b,1.58,3.12,1356.0,0.046,677.503,5952.0,1.157,1.171,0.22,4.35
Kepler-466 b,2.85,8.5,503.0,0.26769,12.5,5927.0,1.05,1.04,-0.01,2.02
Kepler-1401 b,1.68,3.46,808.0,0.0975,100.91,5964.0,1.1,1.07,0.04,4.01
Kepler-928 b,1.59,3.15,894.0,0.0444,111.11,4700.0,0.7,0.73,-0.11,4.31
Kepler-1361 b,0.86,0.566,1061.0,0.04304,186.069,5131.0,0.79,0.83,0.0,4.89
K2-58 b,2.68,7.65,,0.0692,118.0,5413.0,0.86,0.89,0.11,2.18
TAP 26 b,13.5,527.5978,,0.0968,,4620.0,1.17,1.04,-0.1992,1.18
Kepler-192 d,1.02,1.04,926.0,0.0686,186.076,5487.0,0.94,0.94,0.13,5.39
Kepler-939 b,1.75,3.71,692.0,0.1153,54.19,5471.0,0.85,0.88,-0.12,3.8
Kepler-1873 b,1.62573811,3.28,1787.0,0.0128,2412.15,5151.0,0.792,0.903,0.21,4.19
Kepler-282 e,3.1,56.2,484.0,0.23332,24.114,5656.0,0.89,0.97,-0.2,10.4
Kepler-1357 b,1.28,2.18,1177.0,0.041,449.975,5597.0,0.9,0.93,-0.06,5.71
Kepler-1320 b,1.7,3.53,1389.0,0.0163,672.113,4817.0,0.74,0.8,0.1,3.95
Kepler-1807 b,2.70393215,7.77,1108.0,0.0988,356.24,6455.0,1.496,1.087,-0.36,2.16
Kepler-1845 b,2.43836702,6.52,584.0,0.0885,27.47,4703.0,0.701,0.686,-0.14,2.47
Kepler-90 i,1.32,2.3,709.0,0.1201380843,,6015.0,1.29,1.12,0.098,5.5
HD 194490 b,12.4,3561.90295725,,11.116,,5861.32,1.14911,1.06,0.08,10.3
WASP-148 b,8.47398941,91.21675281,940.0,0.08215,72.699,5555.0,0.912,0.954,0.099,0.831
K2-99 b,11.88151954,276.51071409,1184.0,0.153,357.0,6069.0,2.55,1.44,0.2,0.9
Kepler-992 b,1.62,3.26,510.0,0.13372,15.291,4944.0,0.74,0.8,-0.04,4.21
TOI-2048 b,2.61,7.32,646.0,,29.035,5185.0,0.79,0.83,0.02,2.26
Kepler-1273 b,2.49,6.76,573.0,0.1857,14.877,5566.0,0.91,0.94,0.03,2.41
TOI-3757 b,12.0,85.3,759.0,0.03845,55.4,3913.0,0.62,0.64,0.0,0.27
TOI-375 c,13.4,669.34662514,596.0,0.524,21.07,5259.9,2.9,1.441,0.084,1.53
KOINTREAU-4 b,12.2,4862.7746271,,182.0,,3252.0,,,,14.7
AU Mic d,1.02,1.053,,,,3678.0,0.744,0.51,0.23,5.45
Kepler-1899 b,1.55098292,3.02,851.0,0.0457,124.3,4791.0,0.742,0.759,0.07,4.45
Kepler-613 b,2.29,5.86,713.0,0.1232,66.269,5723.0,0.96,0.98,-0.01,2.68
Kepler-393 b,1.29,2.21,1052.0,0.091,429.813,6189.0,1.382,1.256,0.0322,5.66
Kepler-713 b,2.48,6.71,905.0,0.0748,228.283,5785.0,0.99,0.98,-0.03,2.42
TOI-2570 b,13.64132951,260.61929374,1431.0,0.04145,699.0,5771.0,1.095,1.063,0.191,0.563
K2-150 b,2.0,4.66,,0.0727,4.9,3499.0,0.436,0.457,0.09,3.2
HD 20868 b,13.7,397.2875,,0.95,,4802.0,0.76,0.39,0.05,0.849
TOI-1452 b,1.672,4.82,326.0,0.061,1.8,3185.0,0.275,0.249,-0.07,5.6
K2-212 b,2.65,7.51,542.0,0.0785,21.964,4349.0,0.678,0.622,0.03,2.22
EPIC 228836835 b,1.1,1.37,932.0,,,3782.0,0.32,0.418179,-0.18,5.66
Kepler-183 c,2.27,35.7,857.0,0.103,108.717,5888.0,0.958,0.99,0.11,16.8
Kepler-131 b,2.41,16.13,718.0,0.12789,66.122,5685.0,1.03,1.02,0.12,6.0
Kepler-62 f,1.41,35.0,208.0,0.718,0.5,4925.0,0.64,0.69,-0.37,
Kepler-951 b,5.59,26.7,340.0,0.3091,2.472,4834.0,0.73,0.77,-0.01,0.84
Kepler-1860 b,1.13863767,1.55,697.0,0.10625,56.3,5420.0,0.868,0.874,0.0,5.77
TOI-3693 b,12.59889431,324.18497514,801.0,0.0813,68.6,5321.0,0.791,0.867,0.071,0.89
Kepler-732 b,2.18,5.39,407.0,0.0691,8.559,3631.0,0.46,0.49,-0.01,2.86
WASP-72 b,14.45961,731.009,2210.0,0.03711,6233.7915,6250.0,2.18,2.78,-0.06,0.87
WASP-99 b,11.43318,772.3269,1480.0,0.0717,2005.426,6150.0,1.64,1.21,0.21,2.79
TOI-2200 b,6.96310517,38.7,1147.0,,288.087,5036.17,0.826247,0.85,0.2733,0.63
TOI-2193 A b,19.83989584,298.75870258,1763.0,0.03319,1600.0,5966.0,1.248,1.082,0.027,0.06
TOI-2207 b,11.1529358,203.41018048,1259.0,0.0854,406.0,6101.0,1.564,1.296,0.181,0.8
Kepler-1040 b,2.08,4.98,300.0,0.67249,2.121,5694.0,0.96,0.98,0.01,3.04
Kepler-901 b,1.37,2.45,704.0,0.0378,68.723,4184.0,0.57,0.59,-0.3,5.24
Kepler-597 b,2.37,6.21,743.0,0.10916,76.375,5683.0,0.95,0.97,-0.01,2.56
HD 100655 b,13.5,511.7063,,0.68,,4891.0,10.06,2.28,0.07,1.14
Kepler-203 b,2.57,7.13,1308.0,0.043,668.215,5821.0,1.114,1.06,0.08,2.31
Kepler-520 c,1.07,1.24,1107.0,0.06035,351.69,6112.0,1.09,1.1,-0.03,5.56
HR 8799 e,13.11453,3178.3,1150.0,16.4,,7400.0,1.49338,1.51,-0.5,7.74
Kepler-330 b,1.35,2.39,714.0,0.075,66.578,5117.0,0.722,0.848,0.16,5.34
Kepler-167 c,1.674,3.44,771.0,0.0684,61.175,4884.0,0.749,0.777,0.02,4.03
HD 180902 b,13.5,535.54355,,1.4,,4961.0,4.16,1.41,0.04,1.2
Kepler-1137 b,2.2,5.48,1020.0,0.1871,197.846,6807.0,1.84,1.5,0.05,2.83
Kepler-267 c,2.13,5.18,484.0,0.06,17.583,4258.0,0.555,0.541571,-0.18,2.95
HD 216520 b,3.18,10.26,,0.198,,5103.0,0.76,0.82,-0.16,1.75
TOI-2421 b,10.36830715,105.83685953,1534.0,0.0543,923.6,5607.0,1.75,1.131,0.19,0.52
Kepler-242 b,2.61,7.32,742.0,0.075,43.768,5020.0,0.85,0.748,-0.02,2.26
Kepler-62 d,1.95,14.0,510.0,0.12,17.21,4925.0,0.64,0.69,-0.37,
TOI-4137 b,13.57407563,457.67290608,1570.0,0.05222,1013.0,6202.0,1.438,1.313,0.182,1.01
K2-213 b,1.51398464,2.9,,,,5794.0,1.20424,1.069596,0.25,4.59
DMPP-1 b,4.26,16.8,877.0,0.1423,,6196.0,1.26,1.21,,1.19
DMPP-1 c,3.31,10.94,1239.0,0.0973,,6196.0,1.26,1.21,,1.66
Kepler-1577 b,1.13,1.51,1125.0,0.0657,57.751,4862.0,0.74,0.78,0.0,5.75
Kepler-751 b,2.46,6.62,679.0,0.1263,39.01,5387.0,0.84,0.87,-0.06,2.44
Kepler-606 b,3.31,11.0,683.0,0.17,71.843,6161.0,1.22,1.13,0.01,1.67
Kepler-1575 b,1.31,2.27,1312.0,0.0366,803.679,5667.0,0.92,0.95,-0.07,5.55
HD 207832 b,14.2,177.9848,,0.586,,5726.0,0.89,1.05,0.14,0.342
HD 102956 b,13.8,305.1168,,0.0807,,4985.0,4.55,1.66,0.19,0.638
Kepler-1490 b,3.04,9.48,348.0,0.3729,3.788,5515.0,0.87,0.9,-0.08,1.85
TOI-2364 b,8.60849718,71.51139158,1091.0,0.04871,237.0,5306.0,0.886,0.954,0.344,0.61
Kepler-377 b,1.39,2.51,875.0,0.109,139.112,5949.0,1.224,1.043,0.05,5.14
EPIC 212499991 b,1.6,3.19,,,,4982.79,0.757541,0.912,,4.28
Kepler-227 c,3.04,9.48,443.0,0.29,10.186,5854.0,1.091,0.954,0.1,1.85
Kepler-887 b,1.84,4.04,785.0,0.15431,109.842,6194.0,1.29,1.19,0.08,3.56
GJ 3138 c,1.88,4.18,,0.057,13.9,3717.0,0.5,0.681,-0.3,3.46
TOI-2842 b,12.84549188,117.59651059,1471.0,0.0475,781.8,5910.0,1.265,1.135,0.233,0.304
TOI-2977 b,13.15934334,533.95172376,1544.0,0.03386,947.8,5691.0,1.073,0.936,0.013,1.28
TOI-2583 A b,14.4595851,79.45710175,1456.0,0.0571,750.9,5936.0,1.477,1.215,0.158,0.144
Kepler-1503 b,2.27,5.77,321.0,0.3771,5.636,5069.0,0.74,0.77,-0.19,2.71
Kepler-1781 b,2.38091029,6.26,1003.0,0.0574,239.11,5568.0,0.957,1.053,0.44,2.55
TOI-3023 b,16.43236571,197.05361234,1596.0,0.0505,1084.0,5760.0,1.668,1.12,0.085,0.245
Kepler-198 d,1.53,2.96,1562.0,0.02342,1444.516,5636.0,0.93,0.97,0.04,4.54
TOI-2133 b,2.37,6.21,798.0,0.041,81.1072,4250.0,0.62,0.644,-0.01,2.56
LHS 1903 c,2.046,4.55,559.0,0.05387,16.2,3664.0,0.539,0.538,-0.11,2.91
HIP 948 b,12.1,6547.2651842,,15.037,,4497.0,0.688488,0.71,,20.3
Kepler-1204 b,3.05,9.53,448.0,0.3877,7.021,5825.0,1.03,1.03,0.06,1.85
TOI-2587 A b,12.07207221,69.28659273,1445.0,0.0635,728.0,5760.0,1.726,1.15,0.13,0.216
Kepler-251 e,2.77,8.1,360.0,0.404,3.548,5526.0,0.89,0.891,-0.06,2.09
Kepler-547 b,4.0,15.1,768.0,0.058,87.713,4828.0,0.73,0.78,0.01,1.3
Kepler-1828 b,2.11598626,5.13,799.0,0.0924,96.27,5806.0,0.899,0.996,-0.04,2.98
Kepler-1328 b,0.98,0.904,1214.0,0.052,545.672,5780.0,0.99,1.0,0.0,5.28
Kepler-874 b,3.94,14.7,560.0,0.2234,31.624,6020.0,1.13,1.09,0.03,1.32
Kepler-32 b,2.2,1303.0,514.0,0.05,22.025,3900.0,0.53,0.58,0.0,0.46
Kepler-1150 b,1.02,1.04,1432.0,0.0382,153.741,4754.0,0.72,0.76,0.01,5.39
ZTF J1230-2655 b,13.78704626,7024.0077947,,,,10000.0,0.0123,0.646,,
TOI-3912 b,14.28024141,129.03833324,1512.0,0.0463,872.2,5725.0,1.392,1.088,0.187,0.243
K2-104 b,1.79,3.86,798.0,0.0242,62.1,3712.0,0.48,0.51,0.18,3.7
HD 65216 b,13.6,411.58985,,1.301,,5612.0,0.88,0.874,-0.1685,0.899
HD 65216 c,13.4,645.1949,,5.75,,5612.0,0.88,0.874,-0.1685,1.47
Kepler-1151 b,2.22,5.56,485.0,0.3197,4.86,5470.0,0.85,0.88,-0.11,2.79
TOI-2818 b,15.27784069,225.65816897,1376.0,0.0493,598.0,5721.0,1.229,0.977,-0.02,0.34
HIP 65407 c,13.9,249.17872,,0.316,,5460.0,0.952252,0.93,0.25,0.51
Kepler-124 c,1.75,3.71,560.0,0.1,30.716,4984.0,0.636,0.706,-0.46,3.8
Kepler-999 b,2.34,6.08,1355.0,0.06918,740.173,6237.0,1.65,1.29,0.05,2.61
Oph 11 b,12.3,4449.62,2175.0,243.0,,2375.0,0.232692,0.016,,13.1
K2-11 b,7.55,44.4,734.0,0.2257,9.84,5433.0,5.15,1.35,-0.12,0.567
HD 38283 b,14.0,127.132,,1.02,,5981.0,1.49,1.37,-0.18,0.255
Kepler-518 b,2.11,5.1,839.0,0.07996,133.317,5842.0,0.88,0.96,-0.23,2.98
Kepler-265 d,2.49,6.76,554.0,0.236,18.941,5835.0,1.103,0.97,-0.11,2.41
HD 188015 b,13.6,476.72,,1.203,,5746.0,1.125296,1.09,0.289,1.04
DMPP-1 d,2.02,4.72,1632.0,0.04467,,6196.0,1.26,1.21,,3.15
Kepler-24 e,2.78,26.2118,792.0,0.138,81.506,5897.0,1.289,1.046,-0.0708,0.31
TOI-3807 b,18.49481816,330.54154328,1646.0,0.0421,1230.0,5772.0,1.468,1.181,0.278,0.289
TOI-4463 A b,13.26022417,252.35575516,1395.0,0.04036,633.0,5640.0,1.062,1.056,0.25,0.595
Kepler-797 b,2.17,5.35,605.0,0.181,90.1,5680.0,0.95,0.96,-0.02,2.88
HD 11755 b,12.8,1789.3829,,1.09,,4312.0,20.58,0.72,-0.74,4.69
KOI-351 b,1.31,2.27,1062.0,0.074,316.442,6080.0,1.2,1.2,-0.12,5.55
Kepler-1793 b,3.79037518,13.8,713.0,0.0787,61.24,5191.0,0.764,0.85,-0.06,1.39
Kepler-309 c,2.51,6.85,204.0,0.401,2.142,4713.0,0.721,0.816,0.27,2.38
HD 40307 c,,1868.51320475,696.0,0.0799,,4956.0,0.716684,0.77,-0.31,
HD 7199 b,,3639.13526015,,1.36,,5371.0,0.97,0.77,0.32,
GJ 251 c,1.8,3.88,216.0,0.196,0.404,3342.0,0.36,0.35,0.07,3.66
K2-200 b,1.3643987,2.43,,,,5233.0,0.791736,0.860208,-0.04,5.26
Kepler-922 b,1.42,2.6,1876.0,0.01795,2142.634,5671.0,0.93,0.95,-0.05,4.99
Kepler-1780 b,3.60600667,12.7,340.0,0.4276,3.14,5403.0,0.868,0.868,0.0,1.49
Kepler-509 b,2.49,6.76,584.0,0.23702,28.481,6060.0,1.2,1.1,0.01,2.41
GJ 649 b,10.8,81.99972901,,1.112,,3734.0,0.5,0.51,-0.15,0.358
Kepler-813 b,2.14,5.22,817.0,0.1439,56.04,5743.0,0.93,0.95,-0.13,2.93
HD 222582 b,12.6,2660.2371,,1.34,,5790.0,1.13,1.12,0.01,7.31
Kepler-1551 b,2.66,7.56,722.0,0.1772,60.421,6136.0,1.22,1.14,0.01,2.21
Kepler-1352 b,0.89,0.64,1701.0,0.02883,1892.586,6118.0,1.16,1.11,0.0,4.99
Kepler-1422 b,2.02,4.74,833.0,0.1499,156.9,6194.0,1.23,1.15,0.0,3.16
GJ 849 c,13.8,314.65012293,,4.95,,3467.0,0.45,0.45,0.09,0.658
EPIC 206042996 b,1.7,3.53,,,,4114.0,0.5,0.565,0.006,3.95
HD 49674 b,6.2,31.783,,0.06,,5602.0,1.02,1.03,0.32,0.733
Kepler-26 d,1.07,1.24,652.0,0.039,31.79,4486.0,0.571,0.593,-0.21,5.56
Kepler-229 d,3.85,14.2,439.0,0.22,6.162,5120.0,0.728,0.808,0.06,1.37
Kepler-320 c,1.37,2.45,1002.0,0.142,101.619,6435.0,1.108,1.072,-0.1228,5.24
Kepler-926 b,2.31,5.95,524.0,0.2739,17.883,5806.0,1.01,1.01,0.03,2.65
Kepler-106 e,2.56,11.17,531.0,0.24006,20.294,5858.0,1.04,1.0,-0.12,3.1
Kepler-402 b,1.22,1.98,1311.0,0.051,619.844,6090.0,1.264,1.072,-0.08,5.99
Kepler-1202 b,2.94,8.96,547.0,0.179,23.876,5834.0,1.04,1.03,0.06,1.94
TOI-942 c,4.67,37.0,,0.08598,,4969.0,0.894,0.822,-0.221,
Kepler-1474 b,2.16,5.31,561.0,0.2108,21.392,5870.0,1.04,1.04,0.04,2.9
Kepler-128 c,1.521,3.38,843.0,0.16517,130.979,6072.0,1.659,1.184,-0.03,5.237935
Kepler-1734 b,3.08851092,9.74,985.0,0.0714,222.91,6061.0,0.97,1.05,-0.1,1.82
Kepler-671 b,2.69,7.7,1012.0,0.0503,331.438,5624.0,0.95,0.97,0.08,2.17
Kepler-186 c,1.25,2.1,464.0,0.0451,13.98,3788.0,0.472,0.478,-0.28,5.91
Kepler-339 b,1.42,2.6,1023.0,0.055,159.945,5631.0,0.802,0.87,0.033,4.99
TOI-942 b,3.89,16.0,1120.0,0.04866,261.858,4969.0,0.894,0.822,-0.221,
HD 80883 b,12.8,1748.0562385,,6.462,,5177.91,0.814842,0.88,-0.2638,4.58
Kepler-777 b,1.47,2.76,569.0,0.0519,33.953,4043.0,0.56,0.58,-0.17,4.77
Kepler-83 c,2.36,2.03,362.0,0.11796,5.9,4082.0,0.61,0.66,-0.2,0.38
CoRoT-27 b,11.287,3302.11,1500.0,0.0476,,5900.0,1.08,1.05,-0.1,12.6
Kepler-1206 b,1.64,3.33,1314.0,0.0201,588.021,4877.0,0.75,0.8,0.07,4.15
HD 125595 b,,3531.07360177,,0.08,,4691.0,0.74,0.29,0.08,
HD 179079 b,,4195.3349724,,0.1214,,5646.0,1.63,1.14,0.24,
Kepler-1602 b,1.34,2.36,1159.0,0.09744,124.507,6296.0,1.36,1.22,0.02,5.39
OGLE-TR-56 b,15.278,441.77,2212.0,0.02383,,6050.0,1.363,1.228,0.25,0.68
K2-169 b,1.27328671,2.16,,,,5548.0,0.919053,0.986144,0.26,5.75
Kepler-370 b,1.59,3.15,1040.0,0.054,361.514,5852.0,0.9,0.982,0.1323,4.31
Kepler-1762 b,2.76022913,8.05,714.0,0.204,61.49,6572.0,1.238,1.298,0.07,2.1
Kepler-511 c,4.20964327,16.5,742.0,0.17177,101.6,5866.0,1.417,0.958,-0.2,1.22
KOI-1843.03,0.61,8.0,1654.0,0.005,,3584.0,0.45,0.46,0.0,
K2-416 b,2.66,1652.7077164,447.0,0.088,,3746.0,0.554,0.548,,
TOI-4791 b,12.44196858,734.18362017,1472.0,0.0555,783.2,6058.0,1.409,1.242,0.207,2.09
Kepler-369 b,1.13,1.51,687.0,0.03,40.295,3591.0,0.471,0.5,-0.09,5.75
Kepler-778 b,1.68,3.46,977.0,0.0453,216.568,5102.0,0.77,0.81,-0.09,4.01
tau Cet g,1.18,1.75,,0.133,,5310.0,0.83,0.783,-0.52,5.85
tau Cet h,1.19,1.83,,0.243,,5310.0,0.83,0.783,-0.52,5.97
tau Cet f,1.81,3.93,,1.334,,5310.0,0.83,0.783,-0.52,3.64
WASP-80 b,11.197791,170.99254,825.0,0.0344,72.442,4143.0,0.586,0.577,-0.13,0.717
Kepler-878 b,1.93,4.38,501.0,0.165,27.009,5044.0,0.77,0.81,-0.03,3.35
K2-72 e,1.29,2.21,,0.106,1.2,3360.47,0.330989,0.271365,,5.66
HD 25171 b,13.9,290.81445,,2.971,,6125.0,1.23,1.076,-0.12,0.595
TOI-6707 b,5.72673066,27.8,1509.43,,1226.7862,6289.49,1.58202,1.14,-0.0801,0.813
HD 155918 c,12.8,1878.04805696,,13.183,,5771.84,1.01906,1.03,-0.6616,4.92
Kepler-1508 b,1.33,2.33,967.0,0.1629,116.145,6158.0,1.22,1.14,0.01,5.44
Kepler-156 b,2.3,5.9,867.0,0.054,135.077,5094.0,0.807,0.864,0.2535,2.66
HD 15906 b,2.24,5.65,668.0,0.09,33.14,4757.0,0.762,0.79,0.02,2.76
Kepler-1356 b,1.53,2.96,1714.0,0.0136,1966.057,5106.0,0.78,0.82,-0.02,4.54
Kepler-1012 b,1.29,2.21,934.0,0.06066,191.811,5556.0,0.91,0.95,0.05,5.66
Kepler-154 f,1.5,2.86,838.0,0.08832,139.884,5769.0,0.98,0.98,-0.04,4.66
Kepler-1234 b,2.81,8.3,625.0,0.096,40.12,4967.0,0.76,0.8,0.01,2.06
HD 34445 e,4.26,16.8,,0.2687,,5836.0,1.38,1.07,0.14,1.19
Kepler-384 c,1.13,1.51,531.0,0.236,40.099,5577.0,0.882,0.882,-0.29,5.75
Kepler-1153 b,1.73,3.64,1343.0,0.0277,761.808,5470.0,0.88,0.91,0.03,3.86
TOI-778 b,15.4,878.0,1561.0,0.06,734.672,6643.0,1.71,1.4,0.0,1.3
Kepler-1271 b,1.48,2.79,1484.0,0.04233,975.181,6143.0,1.23,1.13,-0.01,4.73
Kepler-182 c,3.43,11.6,729.0,0.157,88.852,6250.0,1.146,1.114,0.072,1.58
HIP 48714 b,5.11,22.9,,0.112,,4015.5,0.595456,0.58,,0.943
HATS-23 b,20.84874,467.2101,1654.0,0.03397,994.8004,5780.0,1.199,1.121,0.28,0.29
K2-152 b,2.29,5.86,337.0,0.1716,2.9,4044.0,0.61,0.63,0.12,2.68
Kepler-1626 b,2.02,4.74,1352.0,0.0537,1328.654,6826.0,1.85,1.51,0.04,3.16
HD 97048 b,13.3,794.575,,130.0,,10000.0,2.25,2.4,,1.86
HD 4308 b,4.12,15.8915,,0.12,,5686.0,1.02,0.93,-0.35,1.25
Kepler-580 b,2.57,7.13,558.0,0.0683,24.063,4298.0,0.64,0.67,-0.06,2.31
HD 217786 c,2.61,7.31005336,,0.038,,5966.0,1.27,1.14,-0.135,2.26
Kepler-219 b,2.95,9.01,1307.0,0.057,456.732,5786.0,1.491,1.164,0.36,1.93
Kepler-1941 b,2.64976949,7.51,666.0,0.2054,46.53,6404.0,1.142,1.175,-0.06,2.22
K2-254 b,1.63,3.29,791.0,0.0448,,4629.0,0.67,0.71,-0.14,4.17
Kepler-294 b,1.77,3.78,1087.0,0.048,329.801,5913.0,0.976,0.947,0.11,3.75
Kepler-296 b,1.61,3.22,495.0,0.079,6.5,3740.0,0.48,0.498,-0.08,3.0
HD 64114 b,4.41,17.8,,0.246,,5676.0,0.882858,0.95,,1.14
Kepler-1947 b,1.0101666,1.01,1298.0,0.07375,229.4,6040.0,1.686,0.984,-0.44,5.38
HD 108236 c,2.071,4.94,932.0,0.062,162.1675,5660.0,0.877,0.869,-0.28,3.06
HD 151450 b,6.94,38.45723725,,0.16,,6091.98,1.17184,1.14,,0.632
Kepler-546 b,7.0,39.1,1258.0,0.0502,690.13,5967.0,1.15,1.11,0.14,0.626
K2-6 b,2.5,6.8,615.0,0.1898,28.6,5850.0,0.96,0.97,-0.14,2.39
Kepler-497 b,6.04,30.4,1210.0,0.0457,1129.272,5834.0,1.11,1.09,0.24,0.758
Kepler-971 b,2.13,5.18,1087.0,0.08679,82.766,5431.0,0.85,0.88,-0.06,2.95
Kepler-452 b,1.63,3.29,265.0,1.046,1.1,5757.0,1.11,1.037,0.21,4.17
Kepler-553 b,4.74139884,116.00736855,1089.0,0.04766,235.0,5191.0,0.902,0.889,0.152,
Kepler-1791 b,3.12103321,9.91,1021.0,0.0761,257.14,5887.0,1.177,0.985,-0.06,1.79
Kepler-399 d,1.89,4.23,486.0,0.261,5.57,5502.0,0.68,0.902,0.14,3.44
Kepler-1355 b,1.46,2.73,1448.0,0.0224,944.873,5352.0,0.83,0.88,-0.04,4.82
Kepler-83 b,2.83,2.94,460.0,0.07295,15.412,4082.0,0.61,0.66,-0.2,0.83
Kepler-1827 b,1.85644292,4.1,1329.0,0.04647,1113.4,5423.0,1.404,0.915,0.08,3.52
Kepler-1886 b,2.58158428,7.18,580.0,0.16,26.68,5745.0,0.837,0.928,-0.2,2.29
Kepler-1467 b,3.3,10.9,411.0,0.2388,7.917,5332.0,0.82,0.86,-0.07,1.67
Kepler-204 b,2.53,6.94,828.0,0.117,79.703,5812.0,1.238,1.038,0.07,2.35
HIP 5158 b,13.6,451.0,,0.89,,4962.0,0.75,0.78,0.1,0.985
Kepler-1311 c,1.22,1.98,1671.0,0.03753,2144.553,5748.0,1.4,1.05,0.09,5.99
Kepler-366 c,1.79,3.86,848.0,0.11,286.6,6209.0,1.048,1.088,-0.06,3.7
HD 136118 b,12.3,4164.18778851,,2.327,,6097.0,1.67754,1.18,-0.05,12.3
Kepler-283 b,2.13,5.18,488.0,0.082,16.26,4351.0,0.566,0.596,-0.17,2.95
GJ 357 b,1.2,1.84,518.0,0.036,12.6,3505.0,0.337,0.342,-0.12,5.6
Kepler-185 c,2.02,4.74,530.0,0.139,16.029,5208.0,0.806,0.763,-0.14,3.16
Kepler-1285 b,0.97,0.871,874.0,0.12758,181.591,6170.0,1.28,1.2,0.16,5.24
TOI-470 b,4.34,17.4,660.0,0.119,44.7551,5190.0,0.831,0.87,0.1,1.17
Kepler-1003 b,1.78,3.82,1157.0,0.04333,814.925,6109.0,1.17,1.11,0.01,3.72
Kepler-213 b,1.62,3.26,1326.0,0.036,833.469,5696.0,1.195,1.07,0.15,4.21
Kepler-112 b,2.36,6.17,809.0,0.076,123.818,5544.0,0.841,0.782,-0.5221,2.58
TOI-7333 b,2.09469416,5.04,755.0,,53.9635,4586.87,0.666066,0.721,,3.01
Kepler-1038 c,1.4162338,2.59,784.0,0.0692,89.24,5159.0,0.821,0.868,0.16,5.01
HD 109271 c,5.27,24.154,,0.196,,5783.0,1.294595,1.047,0.1,0.907
Kepler-26 e,2.41,6.39,276.0,0.22,1.753,4486.0,0.571,0.593,-0.21,2.51
Kepler-1731 b,2.93295657,8.92,486.0,0.1399,13.3,4859.0,0.72,0.781,0.0,1.94
TOI-622 b,9.2362001,96.30200732,1388.0,0.0708,602.0,6400.0,1.415,1.313,0.09,0.507
Kepler-169 b,1.13,1.51,962.0,0.04,195.221,4997.0,0.763,0.825,0.17,5.75
Kepler-239 b,2.33,6.04,616.0,0.095,34.746,4914.0,0.763,0.757,0.17,2.62
Kepler-1812 b,2.3249424,6.01,1034.0,0.0765,270.34,6174.0,1.103,1.162,0.1,2.63
Kepler-738 b,2.5,6.8,530.0,0.1552,27.644,5327.0,0.82,0.86,-0.09,2.39
Kepler-1778 b,3.01665969,9.36,942.0,0.0956,186.14,6310.0,1.095,1.143,-0.06,1.87
Kepler-1005 b,1.5,2.86,1026.0,0.06717,301.329,5782.0,1.06,1.0,0.02,4.66
Kepler-617 b,1.32,2.3,750.0,0.0219,100.295,3712.0,0.48,0.51,-0.07,5.5
Kepler-371 c,1.78,3.82,443.0,0.313,17.063,5666.0,0.992,0.876,-0.1975,3.72
